Issue Type,Epic Name,Summary,Description,Assignee,Story Points,Priority,Sprint,Labels
Epic,EPIC-1,Ingestion des données MovieLens,Mettre en place le pipeline d'extraction dlt depuis les fichiers MovieLens vers DuckDB,,,,,"dataops"
Epic,EPIC-2,Transformation et modélisation dbt,Construire les modèles staging et marts dbt avec tests de qualité,,,,,"dataops"
Epic,EPIC-3,Orchestration Dagster,Orchestrer l'ensemble du pipeline avec Dagster (assets, jobs, schedules),,,,,"orchestration"
Epic,EPIC-4,Machine Learning - Recommandation,Entraîner et évaluer un modèle de filtrage collaboratif,,,,,"ml"
Epic,EPIC-5,MLflow Tracking & Registry,Tracker les expériences et versionner les modèles,,,,,"mlops"
Epic,EPIC-6,API de recommandation Flask,Exposer le modèle via une API REST minimale,,,,,"backend"
Epic,EPIC-7,Conteneurisation Docker,Conteneuriser tous les services,,,,,"devops"
Epic,EPIC-8,CI GitHub Actions,Automatiser les tests et la validation du code,,,,,"devops"
Epic,EPIC-9,Exécution locale Docker Compose,Garantir une installation et un démarrage 100% locaux via git clone + docker compose up --build,,,,,"infra"
Epic,EPIC-10,Monitoring,Mettre en place Prometheus + Grafana,,,,,"observability"
Epic,EPIC-11,Documentation & Présentation,Rédiger README, vision, et support de soutenance,,,,,"docs"
Story,EPIC-1,Configurer le projet dlt et la source MovieLens,"En tant que Data Engineer, je veux extraire les fichiers MovieLens (ratings, movies, tags, links) afin de les charger dans DuckDB.",Hajar,5,High,Sprint 1,"dlt,backend"
Story,EPIC-1,Implémenter le chargement incrémental dlt,"En tant que Data Engineer, je veux que dlt gère les incréments via merge/upsert afin d'éviter les doublons.",Abderrahman,5,High,Sprint 1,"dlt"
Story,EPIC-1,Valider le schéma DuckDB généré,"En tant que Data Engineer, je veux vérifier que les tables raw respectent le schéma attendu.",Hajar,3,Medium,Sprint 1,"duckdb,qa"
Story,EPIC-2,Créer les modèles staging dbt,"En tant que Data Engineer, je veux nettoyer et typer les données brutes dans des modèles staging.",Abderrahman,5,High,Sprint 1,"dbt"
Story,EPIC-2,Créer les modèles marts (fact_ratings, dim_movies, dim_users),"En tant que Data Analyst, je veux des tables dimensionnelles prêtes pour l'analyse et le ML.",Hajar,8,High,Sprint 1,"dbt"
Story,EPIC-2,Ajouter les tests dbt (unique, not_null, relationships),"En tant que Data Engineer, je veux garantir la qualité des données via des tests automatisés.",Abderrahman,5,High,Sprint 1,"dbt,data-quality"
Story,EPIC-2,Documenter les modèles dbt (schema.yml + descriptions),"En tant que Data Analyst, je veux une documentation dbt consultable via dbt docs.",Abdelkarim,3,Medium,Sprint 1,"dbt,docs"
Story,EPIC-3,Définir les assets Dagster pour le pipeline complet,"En tant que Data Engineer, je veux que chaque étape (dlt, dbt, ML) soit un asset Dagster traçable.",Hajar,8,High,Sprint 2,"dagster"
Story,EPIC-3,Ajouter des Asset Checks Dagster pour la qualité de données,"En tant que Data Engineer, je veux que Dagster bloque le pipeline si les données sont corrompues.",Abderrahman,5,High,Sprint 2,"dagster,data-quality"
Story,EPIC-3,Planifier un schedule quotidien du pipeline,"En tant que Scrum Master, je veux que le pipeline tourne automatiquement chaque jour.",Imran,3,Medium,Sprint 2,"dagster"
Story,EPIC-4,Préparer la matrice user-item pour l'entraînement,"En tant que ML Engineer, je veux transformer fact_ratings en matrice creuse utilisateur-item.",Younes,5,High,Sprint 2,"ml"
Story,EPIC-4,Entraîner un modèle de filtrage collaboratif KNN,"En tant que ML Engineer, je veux entraîner un modèle KNN item-based (Scikit-Learn) pour prédire les notes manquantes.",Douae,8,High,Sprint 2,"ml"
Story,EPIC-4,Évaluer le modèle (RMSE, MAE, Precision@K),"En tant que ML Engineer, je veux mesurer la performance du modèle sur un jeu de test.",Younes,5,High,Sprint 2,"ml,evaluation"
Story,EPIC-5,Intégrer MLflow Tracking dans le script d'entraînement,"En tant que ML Engineer, je veux logger les hyperparamètres et métriques de chaque run.",Douae,5,High,Sprint 2,"mlflow"
Story,EPIC-5,Enregistrer le meilleur modèle dans le MLflow Model Registry,"En tant que ML Engineer, je veux versionner et promouvoir le meilleur modèle en 'Production'.",Younes,5,High,Sprint 2,"mlflow"
Story,EPIC-6,Créer l'endpoint /recommend/{user_id},"En tant que Data Analyst, je veux interroger l'API pour obtenir le Top-N de films recommandés.",Abdelkarim,8,High,Sprint 3,"api"
Story,EPIC-6,Créer l'endpoint /health et /metrics,"En tant que DevOps, je veux superviser la disponibilité du service.",Nohaila,3,Medium,Sprint 3,"api,observability"
Story,EPIC-6,Charger le modèle depuis le MLflow Registry au démarrage,"En tant que ML Engineer, je veux que l'API charge automatiquement la dernière version 'Production'.",Younes,5,High,Sprint 3,"api,mlflow"
Story,EPIC-7,Dockeriser l'API Flask,"En tant que DevOps, je veux une image Docker légère pour l'API.",Abderrahman,3,High,Sprint 3,"docker"
Story,EPIC-7,Dockeriser MLflow et Dagster,"En tant que DevOps, je veux des conteneurs dédiés pour MLflow et Dagster.",Hajar,5,High,Sprint 3,"docker"
Story,EPIC-7,Créer le docker-compose.yml global,"En tant que DevOps, je veux démarrer toute la stack avec une seule commande.",Abderrahman,5,High,Sprint 3,"docker"
Story,EPIC-8,Créer le workflow CI (lint + tests + dbt build),"En tant que DevOps, je veux que chaque PR soit validée automatiquement.",Imran,5,High,Sprint 3,"ci"
Story,EPIC-7,Créer le service pipeline-init dans docker-compose,"En tant que DevOps, je veux que le pipeline complet (dlt, dbt, ML) s'exécute automatiquement au premier `docker compose up --build`.",Hamza,8,High,Sprint 3,"docker"
Story,EPIC-9,Garantir un démarrage en une seule commande,"En tant qu'utilisateur, je veux que `git clone` puis `docker compose up --build` suffisent pour obtenir un système fonctionnel.",Hamza,5,High,Sprint 3,"infra"
Story,EPIC-9,Documenter l'exécution 100% locale dans le README,"En tant que Scrum Master, je veux que le README ne mentionne aucune dépendance cloud.",Imran,3,Medium,Sprint 3,"infra,docs"
Story,EPIC-10,Configurer Prometheus pour scraper l'API,"En tant que Data Analyst, je veux collecter les métriques de l'API.",Nohaila,5,Medium,Sprint 3,"monitoring"
Story,EPIC-10,Créer le dashboard Grafana (latence, dérive, qualité données),"En tant que Data Analyst, je veux visualiser la santé du système.",Abdelkarim,5,Medium,Sprint 3,"monitoring"
Story,EPIC-11,Rédiger le README complet,"En tant que Scrum Master, je veux que le projet soit installable par n'importe qui en suivant le README.",Imran,3,Medium,Sprint 3,"docs"
Story,EPIC-11,Préparer le support de présentation finale,"En tant que Product Owner, je veux un support de soutenance clair et complet.",Hamza,5,Medium,Sprint 3,"docs"
Epic,EPIC-12,Interface Streamlit,Construire une interface utilisateur consommant l'API Flask,,,,,"frontend"
Epic,EPIC-13,Versioning DVC,Rendre le pipeline de données et de modèle reproductible avec DVC,,,,,"dataops"
Story,EPIC-12,Construire l'interface de recommandation Streamlit,"En tant que Data Analyst, je veux une interface simple pour choisir un utilisateur et afficher ses recommandations.",Abdelkarim,8,High,Sprint 3,"frontend"
Story,EPIC-13,Définir le pipeline DVC (dvc.yaml, params.yaml),"En tant que Data Engineer, je veux versionner le dataset, le modèle et les métriques avec DVC.",Hajar,8,High,Sprint 3,"dataops"
